"ID","trial","season","Sn","success"
1,1,"summer",3,0
1,2,"winter",1,0
1,3,"summer",3,1
1,4,"winter",1,1
1,5,"spring",2,1
1,6,"spring",2,0
1,7,"summer",3,0
1,8,"winter",1,1
1,9,"winter",1,0
1,10,"summer",3,1
2,1,"spring",2,0
2,2,"spring",2,0
2,3,"winter",1,0
2,4,"summer",3,1
2,5,"spring",2,0
2,6,"summer",3,1
2,7,"winter",1,1
2,8,"spring",2,0
2,9,"winter",1,1
2,10,"spring",2,1
3,1,"summer",3,0
3,2,"winter",1,0
3,3,"winter",1,1
3,4,"spring",2,1
3,5,"winter",1,1
3,6,"winter",1,0
3,7,"spring",2,0
3,8,"winter",1,1
3,9,"summer",3,0
3,10,"spring",2,0
4,1,"summer",3,0
4,2,"summer",3,0
4,3,"summer",3,0
4,4,"winter",1,1
4,5,"summer",3,0
4,6,"spring",2,1
4,7,"spring",2,1
4,8,"spring",2,0
4,9,"summer",3,1
4,10,"winter",1,1
5,1,"summer",3,0
5,2,"spring",2,0
5,3,"winter",1,0
5,4,"spring",2,0
5,5,"spring",2,0
5,6,"spring",2,1
5,7,"spring",2,1
5,8,"winter",1,0
5,9,"winter",1,1
5,10,"winter",1,1
6,1,"summer",3,0
6,2,"spring",2,0
6,3,"summer",3,0
6,4,"spring",2,0
6,5,"spring",2,1
6,6,"summer",3,0
6,7,"summer",3,0
6,8,"spring",2,0
6,9,"summer",3,0
6,10,"spring",2,0
7,1,"winter",1,0
7,2,"summer",3,0
7,3,"spring",2,0
7,4,"summer",3,0
7,5,"winter",1,1
7,6,"spring",2,1
7,7,"spring",2,0
7,8,"winter",1,1
7,9,"winter",1,0
7,10,"summer",3,1
8,1,"winter",1,0
8,2,"spring",2,0
8,3,"spring",2,0
8,4,"spring",2,0
8,5,"spring",2,0
8,6,"summer",3,0
8,7,"spring",2,0
8,8,"winter",1,1
8,9,"summer",3,0
8,10,"summer",3,0
9,1,"winter",1,1
9,2,"summer",3,1
9,3,"winter",1,1
9,4,"summer",3,1
9,5,"summer",3,0
9,6,"spring",2,0
9,7,"summer",3,1
9,8,"summer",3,0
9,9,"summer",3,0
9,10,"winter",1,0
10,1,"summer",3,0
10,2,"winter",1,0
10,3,"spring",2,0
10,4,"winter",1,0
10,5,"summer",3,0
10,6,"winter",1,0
10,7,"winter",1,1
10,8,"spring",2,1
10,9,"spring",2,1
10,10,"winter",1,0
11,1,"spring",2,0
11,2,"winter",1,0
11,3,"winter",1,1
11,4,"summer",3,0
11,5,"summer",3,1
11,6,"summer",3,1
11,7,"summer",3,0
11,8,"winter",1,0
11,9,"winter",1,0
11,10,"winter",1,0
12,1,"spring",2,0
12,2,"winter",1,0
12,3,"winter",1,0
12,4,"summer",3,1
12,5,"winter",1,0
12,6,"spring",2,1
12,7,"spring",2,1
12,8,"spring",2,1
12,9,"winter",1,0
12,10,"summer",3,1
13,1,"winter",1,0
13,2,"summer",3,1
13,3,"winter",1,0
13,4,"summer",3,1
13,5,"spring",2,0
13,6,"summer",3,1
13,7,"summer",3,0
13,8,"winter",1,1
13,9,"spring",2,0
13,10,"spring",2,1
14,1,"summer",3,0
14,2,"summer",3,0
14,3,"winter",1,1
14,4,"summer",3,0
14,5,"summer",3,0
14,6,"summer",3,1
14,7,"spring",2,0
14,8,"spring",2,1
14,9,"spring",2,1
14,10,"winter",1,0
15,1,"winter",1,0
15,2,"winter",1,1
15,3,"spring",2,0
15,4,"spring",2,0
15,5,"winter",1,0
15,6,"spring",2,0
15,7,"spring",2,0
15,8,"spring",2,0
15,9,"summer",3,1
15,10,"winter",1,1
16,1,"spring",2,0
16,2,"spring",2,0
16,3,"winter",1,1
16,4,"winter",1,1
16,5,"winter",1,1
16,6,"summer",3,0
16,7,"summer",3,0
16,8,"summer",3,0
16,9,"spring",2,0
16,10,"winter",1,0
17,1,"winter",1,0
17,2,"summer",3,0
17,3,"spring",2,0
17,4,"summer",3,0
17,5,"winter",1,1
17,6,"winter",1,0
17,7,"spring",2,1
17,8,"winter",1,0
17,9,"winter",1,0
17,10,"summer",3,0
18,1,"spring",2,1
18,2,"summer",3,0
18,3,"spring",2,1
18,4,"winter",1,0
18,5,"winter",1,1
18,6,"winter",1,0
18,7,"spring",2,1
18,8,"spring",2,0
18,9,"winter",1,1
18,10,"winter",1,1
19,1,"summer",3,0
19,2,"spring",2,0
19,3,"winter",1,1
19,4,"summer",3,0
19,5,"spring",2,0
19,6,"spring",2,0
19,7,"summer",3,0
19,8,"spring",2,1
19,9,"spring",2,1
19,10,"spring",2,0
20,1,"winter",1,1
20,2,"summer",3,0
20,3,"winter",1,1
20,4,"winter",1,1
20,5,"summer",3,0
20,6,"summer",3,0
20,7,"winter",1,0
20,8,"winter",1,0
